GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
event-service,com.devconnect.eventservice,EventServiceApplication,8,0,0,0,3,0,2,0,2,0
event-service,com.devconnect.eventservice.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
event-service,com.devconnect.eventservice.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
event-service,com.devconnect.eventservice.config,RedisConfig,53,0,0,0,13,0,3,0,3,0
event-service,com.devconnect.eventservice.config,KafkaConfig,27,0,0,0,4,0,4,0,4,0
event-service,com.devconnect.eventservice.exception,EventNotPublishedException,0,6,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,AlreadyRegisteredException,0,8,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,InvalidEventDatesException,0,4,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,RegistrationNotFoundException,0,8,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,EventNotFoundException,0,6,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,UnauthorizedActionException,0,4,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,EventFullException,0,6,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,GlobalExceptionHandler,134,0,2,0,23,0,13,0,12,0
event-service,com.devconnect.eventservice.exception,ErrorResponse,196,0,32,0,5,0,30,0,14,0
event-service,com.devconnect.eventservice.exception,ErrorResponse.ErrorResponseBuilder,47,0,0,0,1,0,7,0,7,0
event-service,com.devconnect.eventservice.entity,Event,59,93,0,0,0,14,14,17,14,17
event-service,com.devconnect.eventservice.entity,Registration.RegistrationBuilder,24,45,1,1,0,1,3,6,2,6
event-service,com.devconnect.eventservice.entity,Event.EventBuilder,49,106,1,3,0,1,4,14,3,13
event-service,com.devconnect.eventservice.entity,Registration,28,37,0,0,0,6,7,7,7,7
event-service,com.devconnect.eventservice.dto,CreateEventRequest,316,43,70,0,0,9,43,13,8,13
event-service,com.devconnect.eventservice.dto,RegistrationResponse.RegistrationResponseBuilder,17,42,0,0,0,1,1,7,1,7
event-service,com.devconnect.eventservice.dto,EventResponse.EventResponseBuilder,41,112,0,0,0,1,1,17,1,17
event-service,com.devconnect.eventservice.dto,EventResponse,613,58,116,0,13,3,90,4,32,4
event-service,com.devconnect.eventservice.dto,RegistrationResponse,234,25,46,0,4,2,36,3,13,3
event-service,com.devconnect.eventservice.dto,UpdateEventRequest,359,0,70,0,9,0,56,0,21,0
event-service,com.devconnect.eventservice.controller,EventController,94,0,0,0,13,0,10,0,10,0
event-service,com.devconnect.eventservice.service,EventService,202,321,32,14,35,88,24,16,6,11
event-service,com.devconnect.eventservice.kafka,EventProducer,91,4,6,0,17,1,10,1,7,1
event-service,com.devconnect.eventservice.enums,EventStatus,0,27,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.enums,RegistrationStatus,0,21,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.enums,EventType,0,33,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.kafka.event,EventPublishedEvent,157,16,30,0,3,1,26,2,11,2
event-service,com.devconnect.eventservice.kafka.event,EventPublishedEvent.EventPublishedEventBuilder,10,28,0,0,0,1,1,5,1,5
event-service,com.devconnect.eventservice.kafka.event,UserRegisteredEvent,198,19,38,0,4,1,32,2,13,2
event-service,com.devconnect.eventservice.kafka.event,EventCreatedEvent.EventCreatedEventBuilder,15,42,0,0,0,1,1,7,1,7
event-service,com.devconnect.eventservice.kafka.event,EventCreatedEvent,238,22,46,0,5,1,38,2,15,2
event-service,com.devconnect.eventservice.kafka.event,UserRegisteredEvent.UserRegisteredEventBuilder,13,35,0,0,0,1,1,6,1,6
