GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
event-service,com.devconnect.eventservice,EventServiceApplication,8,0,0,0,3,0,2,0,2,0
event-service,com.devconnect.eventservice.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
event-service,com.devconnect.eventservice.config,WebConfig,63,0,0,0,7,0,2,0,2,0
event-service,com.devconnect.eventservice.config,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
event-service,com.devconnect.eventservice.config,RedisConfig,53,0,0,0,13,0,3,0,3,0
event-service,com.devconnect.eventservice.config,KafkaConfig,27,0,0,0,4,0,4,0,4,0
event-service,com.devconnect.eventservice.exception,EventNotPublishedException,0,6,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,AlreadyRegisteredException,0,8,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,InvalidEventDatesException,0,4,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,RegistrationNotFoundException,0,8,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,EventNotFoundException,0,6,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,UnauthorizedActionException,0,4,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,EventFullException,0,6,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.exception,GlobalExceptionHandler,134,0,2,0,22,0,13,0,12,0
event-service,com.devconnect.eventservice.controller,EventController,90,0,0,0,12,0,9,0,9,0
event-service,com.devconnect.eventservice.service,EventService,264,321,40,16,51,91,30,15,7,10
event-service,com.devconnect.eventservice.repository,EventSpecifications,99,0,14,0,13,0,19,0,12,0
event-service,com.devconnect.eventservice.kafka,EventProducer,85,4,6,0,16,1,9,1,6,1
event-service,com.devconnect.eventservice.enums,EventStatus,0,44,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.enums,RegistrationStatus,0,34,0,0,0,2,0,1,0,1
event-service,com.devconnect.eventservice.enums,EventType,0,54,0,0,0,2,0,1,0,1
